file,responseAverage,responseMin,responseMax,responseSd,dnsAverage,dnsMin,dnsMax,dnsSd,firstByteAverage,firstByteMin,firstByteMax,firstByteSd,started,completed,testsTotal,testsFailed,responseTime,responseSize
newman-run-report-2023-04-26-19-53-35-584-0.json,3233.166667,2173,4720,900.690738,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,19399,43454
newman-run-report-2023-04-26-19-53-35-602-0.json,3232.166667,1987,4731,1024.59999,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,19393,43454
newman-run-report-2023-04-26-19-53-35-728-0.json,3235.166667,1980,4736,1025.59778,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,19411,43454
newman-run-report-2023-04-26-19-53-35-760-0.json,3504.166667,1972,5474,1279.628907,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,21025,43454
newman-run-report-2023-04-26-19-53-35-784-0.json,3247.833333,1595,8534,2408.182746,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,19487,43454
newman-run-report-2023-04-26-19-53-36-479-0.json,3685.666667,2126,5493,1301.043385,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,22114,43454
newman-run-report-2023-04-26-19-53-36-590-0.json,3687.666667,2138,5496,1301.236677,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,22126,43454
newman-run-report-2023-04-26-19-53-36-611-0.json,3671.333333,2133,5492,1243.570621,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,22028,43454
newman-run-report-2023-04-26-19-53-36-634-0.json,3690.833333,2120,5507,1309.138828,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,22145,43454
newman-run-report-2023-04-26-19-53-36-662-0.json,3690.666667,2142,5480,1296.439697,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,22144,43454
newman-run-report-2023-04-26-19-53-36-689-0.json,3388.666667,2136,5159,1039.057532,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,20332,43454
newman-run-report-2023-04-26-19-53-36-716-0.json,3692.5,2114,5483,1316.533168,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,22155,43454
newman-run-report-2023-04-26-19-53-36-793-0.json,3689.666667,2081,5491,1250.127416,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,22138,43454
newman-run-report-2023-04-26-19-53-36-822-0.json,3685.666667,2086,5482,1247.921694,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,22114,43454
newman-run-report-2023-04-26-19-53-37-024-0.json,3698.5,2090,5507,1251.187403,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,22191,43454
newman-run-report-2023-04-26-19-53-38-100-0.json,3734.166667,2088,5557,1134.844397,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,22405,43454
newman-run-report-2023-04-26-19-53-38-120-0.json,3561.5,2500,5569,1065.793718,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,21369,43454
newman-run-report-2023-04-26-19-53-38-523-0.json,4000.333333,2002,7200,1875.449872,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,24002,43454
newman-run-report-2023-04-26-19-53-38-564-0.json,3888,1321,7716,2135.511726,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,23328,43454
newman-run-report-2023-04-26-19-53-38-582-0.json,3679.5,2794,5619,958.8762086,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,22077,43454
newman-run-report-2023-04-26-19-53-38-982-0.json,4312.333333,2351,6879,1906.244621,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,25874,43454
newman-run-report-2023-04-26-19-53-39-444-0.json,4256.5,1864,10229,2902.715438,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,25539,43454
newman-run-report-2023-04-26-19-53-39-656-0.json,3824.333333,1561,7135,2018.419486,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,22946,43454
newman-run-report-2023-04-26-19-53-39-963-0.json,3830.333333,1661,7401,1990.04436,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,22982,43454
newman-run-report-2023-04-26-19-53-39-983-0.json,3708.166667,1454,7219,1981.174771,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,22249,43454
newman-run-report-2023-04-26-19-53-40-006-0.json,3731.333333,1425,7139,1838.493556,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,22388,43454
newman-run-report-2023-04-26-19-53-40-203-0.json,3589.833333,1615,7499,1931.832413,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,21539,43454
newman-run-report-2023-04-26-19-53-40-278-0.json,3875,1856,7504,2081.53493,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,23250,43454
newman-run-report-2023-04-26-19-53-40-309-0.json,4074.5,1988,7356,1889.326401,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,24447,43454
newman-run-report-2023-04-26-19-53-40-332-0.json,3893,1796,7195,1745.402437,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,23358,43454
newman-run-report-2023-04-26-19-53-40-528-0.json,4006.5,1438,7374,1889.927754,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,24039,43454
newman-run-report-2023-04-26-19-53-40-543-0.json,4005.5,1448,8119,2178.511629,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,24033,43454
newman-run-report-2023-04-26-19-53-40-637-0.json,4417.833333,1044,7138,1941.901252,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,26507,43454
newman-run-report-2023-04-26-19-53-40-657-0.json,4386,1079,8572,2473.048658,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,26316,43454
newman-run-report-2023-04-26-19-53-40-678-0.json,4417.5,972,7980,2814.338333,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,26505,43454
Final,2926.673077,270,10229,0,0,0,0,0,0,0,0,0,4/26/2023 19:32,4/26/2023 19:53,624,0,1826244,4519216
,,,,,,,,,,,,,,,,,26.505,43.454
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Run off github,,
,,,,,,,,,,,,,,,,Double # of tests,,
,,,,,,,,,,,,,,,,Check scalability,,
,,,,,,,,,,,,,,,,Create test data,,
